dateTime,Cycle_Alt
2017-07-20T03:45:28.000000Z,16
2017-07-20T03:45:28.125000Z,
2017-07-20T03:45:28.250000Z,
2017-07-20T03:45:28.375000Z,
2017-07-20T03:45:28.500000Z,
2017-07-20T03:45:28.625000Z,
2017-07-20T03:45:28.750000Z,
2017-07-20T03:45:28.875000Z,
2017-07-20T03:45:29.000000Z,16
2017-07-20T03:45:29.125000Z,
2017-07-20T03:45:29.250000Z,
2017-07-20T03:45:29.375000Z,
2017-07-20T03:45:29.500000Z,
2017-07-20T03:45:29.625000Z,
2017-07-20T03:45:29.750000Z,
2017-07-20T03:45:29.875000Z,
2017-07-20T03:45:30.000000Z,16
2017-07-20T03:45:30.125000Z,
2017-07-20T03:45:30.250000Z,
2017-07-20T03:45:30.375000Z,
2017-07-20T03:45:30.500000Z,
2017-07-20T03:45:30.625000Z,
2017-07-20T03:45:30.750000Z,
2017-07-20T03:45:30.875000Z,
2017-07-20T03:45:31.000000Z,16
2017-07-20T03:45:31.125000Z,
2017-07-20T03:45:31.250000Z,
2017-07-20T03:45:31.375000Z,
2017-07-20T03:45:31.500000Z,
2017-07-20T03:45:31.625000Z,
2017-07-20T03:45:31.750000Z,
2017-07-20T03:45:31.875000Z,
2017-07-20T03:45:32.000000Z,16
2017-07-20T03:45:32.125000Z,
2017-07-20T03:45:32.250000Z,
2017-07-20T03:45:32.375000Z,
2017-07-20T03:45:32.500000Z,
2017-07-20T03:45:32.625000Z,
2017-07-20T03:45:32.750000Z,
2017-07-20T03:45:32.875000Z,
2017-07-20T03:45:33.000000Z,16
2017-07-20T03:45:33.125000Z,
2017-07-20T03:45:33.250000Z,
2017-07-20T03:45:33.375000Z,
2017-07-20T03:45:33.500000Z,
2017-07-20T03:45:33.625000Z,
2017-07-20T03:45:33.750000Z,
2017-07-20T03:45:33.875000Z,
2017-07-20T03:45:34.000000Z,16
2017-07-20T03:45:34.125000Z,
2017-07-20T03:45:34.250000Z,
2017-07-20T03:45:34.375000Z,
2017-07-20T03:45:34.500000Z,
